"","GSM1052615","GSM1052616","GSM1052617","GSM1052618","GSM1052619","GSM1052620"
"SEPTIN7P13",8.81485,8.99721,9.19503,9.49915,9.86029,9.47196
"LINC01128",8.75126,8.6165,8.81149,8.32067,8.41445,8.45208
"SAMD11",8.39069,8.52617,8.43338,9.17284,9.10216,9.1412
"KLHL17",8.20228,8.30886,8.18518,8.13322,8.06453,8.15884
"PLEKHN1",8.41004,8.37679,8.27521,8.34524,8.35557,8.44409
"ISG15",7.72204,7.74572,7.78022,7.72308,7.53797,7.73401
"AGRN",9.19237,9.10929,9.03668,9.94821,9.96994,9.99839
"MIR200B",7.50856,7.65041,7.5376,7.37317,7.32562,7.20824
"MIR200A",5.4102,5.49378,5.324,5.25529,5.22608,5.30691
"MIR429",6.6211,6.80314,6.50307,6.93012,6.95385,6.82604
"TTLL10",8.41545,8.59645,8.38563,8.34409,8.12491,8.41778
"B3GALT6",9.41374,9.27174,9.18577,9.1746,9.1296,9.17502
"SCNN1D",7.68546,7.94089,7.52416,7.67786,7.75757,7.74201
"PUSL1",9.76062,9.64717,9.66488,9.59094,9.4325,9.40162
"CPTP",8.76775,8.63747,8.60109,8.83372,8.63596,8.91947
"TAS1R3",7.84576,8.06121,7.83259,7.87675,7.83481,7.89899
"VWA1",8.23373,8.37003,8.29879,8.28701,8.32683,8.43564
"ATAD3A",10.1995,10.2921,10.4946,9.81617,9.67153,9.76731
"MIB2",8.33599,8.49327,8.2541,8.56476,8.45822,8.54395
"CALML6",6.77285,6.39011,6.44929,6.52394,6.3131,6.68744
"GABRD",7.88163,8.12276,7.82987,7.67698,7.68798,7.69438
"PRKCZ",9.07125,9.03953,9.05705,9.22552,9.13884,9.14546
"SKI",10.8396,10.9272,10.8665,10.5284,10.4912,10.5243
"RER1",11.0301,10.9819,10.9469,10.8502,10.8469,10.8556
"PLCH2",7.76488,8.02587,7.70635,7.87063,7.80508,7.89291
"PRXL2B",9.33894,9.35143,9.24548,9.07282,8.9429,8.84603
"ACTRT2",7.39313,7.54438,7.25443,7.28421,7.17076,7.20227
"PRDM16",7.34425,7.4393,7.37418,7.12488,7.24047,7.16704
"ARHGEF16",7.33897,7.44228,7.2724,7.3173,7.10237,7.3797
"TPRG1L",9.61468,9.41543,9.59974,9.85788,9.991,9.98906
"TP73",8.72671,8.68722,8.60379,8.02097,7.87487,7.98221
